plant_id,Avg_OEE,Avg_Availability,Avg_Performance,Avg_Quality,Avg_Bottleneck_Risk,Priority_Score,Disruption_Level
PLT-001,0.6747210084033612,0.89092756302521,0.7580663025210084,0.9979441596638656,0.3646758522838715,0.3256994345591822,Medium
PLT-002,0.6701022940868906,0.8812819446841836,0.7586717848261092,0.9977517314122235,0.39514484193610666,0.37094284419266,Medium
PLT-003,0.6433911229481095,0.8411351395078384,0.7637434805801526,0.9980471105164781,0.3529255671918184,0.42346833319818206,Medium
PLT-004,0.6441764013936374,0.8486377054105315,0.7669029137529139,0.987982759760943,0.40591095978078956,0.46859910752769673,High
PLT-005,0.6415721028703381,0.8449712568439639,0.7589770197266655,0.9966308038152384,0.3507565275456276,0.5467893050301812,Medium
PLT-006,0.6463677954956436,0.8250015946079237,0.7808836018411969,0.9972864622719053,0.9523003555306249,0.6382703102196524,Critical
PLT-007,0.6600742753623188,0.8714854770531401,0.7646808876811595,0.9882475241545893,0.28259218037228384,0.20871621213736144,Medium
PLT-008,0.6901729944166912,0.8997449897149574,0.7677632603585072,0.9956000808110492,0.5205034351648006,0.41881464554828096,High
PLT-009,0.645554012018381,0.849686311417462,0.7613054612937434,0.996997949805585,0.45622479898329554,0.38940648114939924,High
PLT-010,0.6515210804128486,0.8688023455848305,0.7557846087183908,0.9864125328735527,0.7224721475580477,0.6051035101260989,Critical
