line_id,plant_id,work_center_id,shift_id,shift_date,shift_number,shift_duration_minutes,product_id,product_family,production_order_id,line_type,automation_level,number_of_stations,line_configuration,plant_location,industry_sector,takt_time_seconds,designed_cycle_time_seconds,actual_cycle_time_avg_seconds,actual_cycle_time_std_seconds,actual_cycle_time_min_seconds,actual_cycle_time_max_seconds,cycle_time_percentile_p50,cycle_time_percentile_p95,cycle_time_cov,bottleneck_station_id,bottleneck_cycle_time_seconds,bottleneck_utilisation_pct,secondary_bottleneck_station_id,cycle_time_loss_seconds,planned_production_quantity,actual_production_quantity,good_units_produced,defective_units_produced,scrap_units,rework_units,throughput_rate_actual_uph,throughput_rate_design_uph,throughput_rate_ratio,rolled_throughput_yield_pct,total_parts_processed,wip_queue_avg_units,wip_queue_max_units,output_variance_pct,units_per_operator_hour,planned_production_time_minutes,available_time_minutes,oee_availability,oee_performance,oee_quality,oee_overall,teep_pct,loading_pct,availability_loss_minutes,performance_loss_units,quality_loss_units,six_big_losses_breakdown,oee_benchmark_class,oee_loss_primary_driver,changeover_time_minutes,changeover_count,downtime_unplanned_minutes,downtime_planned_minutes,downtime_event_count,mtbf_minutes,mttr_minutes,largest_downtime_event_minutes,equipment_failure_flag,downtime_category_mechanical,downtime_category_electrical,downtime_category_tooling,downtime_category_material,downtime_category_operator,downtime_category_quality_hold,planned_maintenance_flag,maintenance_type_last,equipment_age_years,equipment_condition_score,operator_headcount_planned,operator_headcount_actual,operator_utilisation_pct,operator_skill_level_avg,absenteeism_rate_pct,overtime_hours,ergonomic_incident_flag,operator_variance_flag,cross_training_ratio_pct,shift_supervisor_id,defect_rate_ppm,sigma_level,cpk_primary_characteristic,cp_primary_characteristic,primary_defect_type,secondary_defect_type,inspection_method,spc_control_chart_flag,control_chart_out_of_control,quality_alert_issued,customer_complaint_flag,first_pass_yield_pct,right_first_time_pct,energy_consumption_kwh,energy_per_good_unit_kwh,peak_demand_kw,compressed_air_consumption_m3,coolant_consumption_litres,energy_efficiency_score,carbon_footprint_kg_co2,direct_labour_cost_usd,overhead_cost_usd,material_cost_per_unit_usd,scrap_cost_usd,rework_cost_usd,downtime_cost_per_minute_usd,total_downtime_cost_usd,cost_of_poor_quality_usd,value_added_ratio_pct,production_cost_per_unit_usd
MFG-LINE-PLT-004-06,PLT-004,WC-037,SHF-PLT-004-20210729-1,2021-07-29,1,475.1,PRD-2021-SKU-05702,industrial_machinery,WO-2021-98019,chemical_process,semi_automated,3,job_shop,Detroit_US,industrial,126.5,112.6,121.036,14.524,105.28,343.64,123.31,145.0,0.12,WC-003,128.95,96.85,WC-002,89.07,252,235,234,1,0,1,29.68,31.97,0.9284,99.8876,235,0.1,0,-6.75,4.93,475.1,475.1,1.0,0.9282,0.9957,0.9243,30.5,32.99,0.0,18.2,1,idling_minor_stops,world_class,performance_loss,0.0,0,0.0,0.0,0,475.1,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,no,predictive,6.6,4.8,7,6,84.8,expert,12.6,2.0,no,no,31.7,SUP-089,1124.0,4.56,1.02,1.03,dimensional_out_of_spec,assembly_error,sampling_plan_ansi,yes,no,no,no,99.8876,97.6058,950.5,4.062,159.4,66.7,,7.3,399.2,2262.01,5082.56,88.54,0.0,22.14,100,0.0,22.14,32.8,120.3054
MFG-LINE-PLT-005-05,PLT-005,WC-048,SHF-PLT-005-20200508-1,2020-05-08,1,473.0,PRD-2020-SKU-05736,automotive_body,WO-2020-36066,continuous_process,lights_out,3,serial,Toyota_JP,automotive,59.9,61.0,79.172,2.375,69.68,177.38,79.93,83.09,0.03,WC-003,81.47,93.55,WC-002,20.15,465,272,271,1,0,1,45.39,59.02,0.7691,99.9879,272,1.6,4,-41.51,1.56,473.0,359.5,0.7601,0.7691,0.9963,0.5824,19.13,32.85,113.5,81.7,1,equipment_failure,average,availability_loss,0.0,0,113.5,0.0,3,157.7,37.8,47.7,yes,73.7,39.8,0.0,0.0,0.0,0.0,no,corrective,23.7,5.3,24,22,81.9,semi_skilled,6.9,0.0,no,no,44.5,SUP-123,121.0,5.17,1.22,1.33,dimensional_out_of_spec,surface_finish,automated_vision,yes,no,no,no,99.9879,98.2145,857.4,3.164,185.0,91.4,17.1,7.5,360.1,8404.33,16045.01,30.59,0.0,7.65,200,22700.0,4547.65,40.8,120.9218
MFG-LINE-PLT-005-01,PLT-005,WC-039,SHF-PLT-005-20221016-3,2022-10-16,3,450.2,PRD-2022-SKU-04660,automotive_body,WO-2022-67019,fabrication,semi_automated,4,transfer_line,Shenzhen_CN,automotive,33.7,34.4,43.013,5.162,40.25,80.44,44.4,51.53,0.12,WC-001,47.05,99.44,WC-002,0.0,784,390,389,1,0,1,83.62,104.65,0.799,99.9638,390,1.5,4,-50.26,25.92,450.2,319.1,0.7088,0.7007,0.9974,0.4954,15.49,31.27,131.1,166.6,1,reduced_speed,poor,performance_loss,39.3,2,131.1,0.0,6,75.0,21.8,42.8,yes,83.0,15.8,15.7,4.3,0.0,12.3,no,predictive,20.8,5.3,3,2,82.7,skilled,1.8,0.0,no,no,61.0,SUP-177,362.0,4.88,1.13,1.3,dimensional_out_of_spec,surface_finish,sampling_plan_ansi,yes,no,no,no,99.9638,98.1422,1077.9,2.771,210.2,85.4,21.6,7.8,452.7,683.77,1120.42,28.64,0.0,7.16,200,26220.0,5251.16,29.2,33.3516
MFG-LINE-PLT-007-02,PLT-007,WC-015,SHF-PLT-007-20230816-2,2023-08-16,2,440.3,PRD-2023-SKU-01042,industrial_machinery,WO-2023-12387,hybrid,semi_automated,2,parallel,Detroit_US,industrial,238.3,231.6,271.941,32.633,256.37,545.72,273.78,325.79,0.12,WC-001,267.15,89.31,WC-002,256.4,113,85,84,1,0,1,13.1,15.54,0.843,99.8093,85,2.5,9,-24.78,0.57,440.3,425.7,0.9668,0.7707,0.9882,0.7364,22.52,30.58,14.6,25.3,1,idling_minor_stops,good,performance_loss,36.4,1,14.6,0.0,1,440.3,14.6,14.6,no,14.6,0.0,0.0,0.0,0.0,0.0,no,corrective,32.8,7.0,22,20,72.1,skilled,8.8,0.0,no,no,70.0,SUP-073,1907.0,4.39,0.96,1.1,dimensional_out_of_spec,assembly_error,sampling_plan_ansi,yes,no,no,no,99.8093,99.095,300.0,3.572,74.1,28.2,,7.6,126.0,7153.94,17517.75,29.6,0.0,7.4,100,1460.0,299.4,74.2,323.663
MFG-LINE-PLT-001-02,PLT-001,WC-042,SHF-PLT-001-20241024-3,2024-10-24,3,447.9,PRD-2024-SKU-02680,pharmaceutical,WO-2024-99757,fabrication,manual,5,transfer_line,Chicago_US,pharma,62.4,50.8,62.275,11.77,57.38,161.46,59.43,81.7,0.189,WC-001,77.28,99.9,WC-005,0.0,528,332,331,1,0,1,57.78,70.87,0.8153,99.8313,332,2.0,5,-37.12,2.96,447.9,382.1,0.8531,0.7357,0.997,0.6257,19.46,31.1,65.8,119.3,1,idling_minor_stops,average,performance_loss,37.4,1,65.8,0.0,2,223.9,32.9,59.7,yes,59.7,0.0,0.0,0.0,6.1,0.0,no,corrective,22.7,6.9,20,15,80.1,skilled,23.1,0.0,no,no,20.9,SUP-098,1687.0,4.43,0.98,0.98,contamination,labelling,100pct_manual,yes,no,no,no,99.8313,98.8478,471.3,1.424,90.4,27.6,,8.1,197.9,5792.34,12584.63,29.25,0.0,7.31,300,19740.0,3955.31,74.9,84.8579
MFG-LINE-PLT-006-02,PLT-006,WC-027,SHF-PLT-006-20200420-3,2020-04-20,3,449.8,PRD-2020-SKU-03525,food_beverage,WO-2020-85336,chemical_process,semi_automated,20,job_shop,Nagoya_JP,food_bev,6.4,6.6,9.365,1.124,8.26,13.86,10.17,11.22,0.12,WC-012,10.19,98.88,WC-008,0.0,4078,1959,1953,6,2,4,384.22,545.45,0.7044,99.7419,1961,2.4,4,-51.96,260.51,449.8,305.9,0.6801,0.7044,0.9969,0.4776,14.92,31.24,143.9,822.1,6,equipment_failure,poor,availability_loss,0.0,0,143.9,0.0,10,45.0,14.4,24.2,no,74.2,26.8,42.9,0.0,0.0,0.0,no,preventive,15.5,5.3,1,1,60.2,semi_skilled,11.3,0.0,no,no,78.0,SUP-079,2581.0,4.3,0.93,0.97,contamination,labelling,sampling_plan_ansi,yes,no,no,no,99.7419,96.7546,863.2,0.442,150.4,59.4,,7.8,362.5,173.93,322.51,8.98,17.96,8.98,80,11512.0,2329.34,37.1,9.2618
MFG-LINE-PLT-005-05,PLT-005,WC-003,SHF-PLT-005-20240625-3,2024-06-25,3,435.3,PRD-2024-SKU-02707,automotive_body,WO-2024-01817,continuous_process,lights_out,3,serial,Toyota_JP,automotive,59.9,61.0,73.925,2.218,63.06,134.81,73.98,77.58,0.03,WC-002,75.92,93.36,WC-003,14.9,428,307,306,1,0,1,48.56,59.02,0.8228,99.9884,307,2.0,4,-28.27,2.34,435.3,409.7,0.9412,0.7619,0.9967,0.7148,21.61,30.23,25.6,95.9,1,idling_minor_stops,good,performance_loss,30.3,1,25.6,0.0,2,217.6,12.8,13.8,no,0.0,0.0,0.0,13.8,11.8,0.0,no,preventive,23.7,7.2,20,18,89.3,skilled,8.0,0.0,no,no,63.1,SUP-154,116.0,5.18,1.23,1.26,dimensional_out_of_spec,surface_finish,automated_vision,no,no,no,no,99.9884,97.5075,767.1,2.507,203.9,105.9,15.3,8.0,322.2,6166.39,7796.9,33.88,0.0,8.47,200,5120.0,1032.47,27.5,79.6224
MFG-LINE-PLT-005-04,PLT-005,WC-017,SHF-PLT-005-20240327-1,2024-03-27,1,456.6,PRD-2024-SKU-07919,automotive_body,WO-2024-13111,packaging_line,semi_automated,4,serial,Seoul_KR,automotive,51.5,46.6,52.502,6.3,46.7,127.51,53.02,62.9,0.12,WC-001,58.5,99.9,WC-003,0.0,587,466,465,1,0,1,68.5,77.25,0.8867,99.9726,466,0.4,0,-20.61,5.09,456.6,408.1,0.8938,0.8868,0.9979,0.7909,25.08,31.71,48.5,59.5,1,idling_minor_stops,good,performance_loss,0.0,0,48.5,0.0,5,91.3,9.7,19.5,no,0.0,5.9,27.1,9.4,6.1,0.0,no,corrective,15.6,6.5,14,12,73.8,skilled,11.4,0.0,no,no,40.2,SUP-174,274.0,4.96,1.15,1.3,dimensional_out_of_spec,surface_finish,sampling_plan_ansi,no,no,no,no,99.9726,97.2729,1199.2,2.579,240.0,133.0,24.0,7.9,503.7,3400.15,6198.53,57.4,0.0,14.35,200,9700.0,1954.35,71.8,78.1658
MFG-LINE-PLT-002-04,PLT-002,WC-017,SHF-PLT-002-20200326-3,2020-03-26,3,434.6,PRD-2020-SKU-07478,electronics_pcb,WO-2020-24841,machining_cell,manual,6,serial,Chennai_IN,electronics,16.2,14.1,19.62,4.189,17.17,33.95,19.49,26.53,0.213,WC-004,23.94,99.9,WC-002,0.0,1840,799,795,4,1,3,183.45,255.32,0.7185,99.5232,800,1.5,5,-56.58,27.44,434.6,342.5,0.7881,0.5482,0.995,0.4299,12.98,30.18,92.1,658.5,4,reduced_speed,poor,performance_loss,81.2,2,92.1,0.0,5,86.9,18.4,52.8,yes,73.5,0.0,14.6,0.0,4.0,0.0,no,preventive,15.6,5.7,5,4,78.6,semi_skilled,13.1,0.0,no,no,37.1,SUP-068,4768.0,4.09,0.86,0.94,functional_failure,dimensional_out_of_spec,100pct_manual,no,no,no,no,99.5232,97.4214,652.7,0.821,170.5,44.4,,7.9,274.1,1134.16,1380.2,14.64,14.64,10.98,150,13815.0,2788.62,60.5,17.8764
MFG-LINE-PLT-003-03,PLT-003,WC-014,SHF-PLT-003-20200307-3,2020-03-07,3,466.6,PRD-2020-SKU-07716,electronics_pcb,WO-2020-74961,chemical_process,highly_automated,3,job_shop,Chicago_US,electronics,11.0,9.6,12.108,0.605,10.44,34.51,12.27,13.11,0.05,WC-003,12.44,93.42,WC-001,0.0,2915,1435,1434,1,0,1,297.16,375.0,0.7924,99.9485,1435,0.7,2,-50.77,61.46,466.6,317.3,0.6801,0.7235,0.9993,0.4917,15.93,32.41,149.3,548.4,1,equipment_failure,poor,availability_loss,27.6,1,149.3,0.0,7,66.7,21.3,56.9,yes,83.9,33.0,0.0,29.0,3.4,0.0,no,preventive,16.8,6.5,4,3,91.2,skilled,3.1,0.0,no,yes,46.0,SUP-188,515.0,4.78,1.09,1.25,functional_failure,dimensional_out_of_spec,automated_vision,yes,yes,yes,yes,99.9485,97.4068,969.4,0.676,214.4,94.3,,8.3,407.1,795.8,876.41,15.13,0.0,3.78,150,22395.0,4482.78,58.9,16.3067
