line_id,shift_date,shift_number,takt_time_seconds,designed_cycle_time_seconds,actual_cycle_time_avg_seconds,throughput_rate_actual_uph,throughput_rate_design_uph,output_variance_pct,takt_uph,throughput_vs_takt_gap
MFG-LINE-PLT-004-06,2021-07-29,1,126.5,112.6,121.036,29.68,31.97,-6.75,28.458498023715414,1.2215019762845856
MFG-LINE-PLT-005-05,2020-05-08,1,59.9,61.0,79.172,45.39,59.02,-41.51,60.10016694490818,-14.710166944908181
MFG-LINE-PLT-005-01,2022-10-16,3,33.7,34.4,43.013,83.62,104.65,-50.26,106.82492581602374,-23.20492581602373
MFG-LINE-PLT-007-02,2023-08-16,2,238.3,231.6,271.941,13.1,15.54,-24.78,15.107007973143096,-2.0070079731430965
MFG-LINE-PLT-001-02,2024-10-24,3,62.4,50.8,62.275,57.78,70.87,-37.12,57.69230769230769,0.08769230769230774
MFG-LINE-PLT-006-02,2020-04-20,3,6.4,6.6,9.365,384.22,545.45,-51.96,562.5,-178.27999999999997
MFG-LINE-PLT-005-05,2024-06-25,3,59.9,61.0,73.925,48.56,59.02,-28.27,60.10016694490818,-11.54016694490818
MFG-LINE-PLT-005-04,2024-03-27,1,51.5,46.6,52.502,68.5,77.25,-20.61,69.90291262135922,-1.4029126213592207
MFG-LINE-PLT-002-04,2020-03-26,3,16.2,14.1,19.62,183.45,255.32,-56.58,222.22222222222223,-38.77222222222224
MFG-LINE-PLT-003-03,2020-03-07,3,11.0,9.6,12.108,297.16,375.0,-50.77,327.27272727272725,-30.112727272727227
MFG-LINE-PLT-010-04,2023-10-03,1,298.9,264.3,295.659,12.16,13.62,-28.7,12.04416192706591,0.11583807293409087
MFG-LINE-PLT-010-04,2024-12-25,2,298.9,264.3,358.09,10.0,13.62,-46.53,12.04416192706591,-2.0441619270659093
MFG-LINE-PLT-004-01,2023-07-28,2,224.5,209.4,247.489,14.38,17.19,-44.44,16.035634743875278,-1.655634743875277
MFG-LINE-PLT-003-04,2020-10-23,2,30.3,27.1,30.15,119.29,132.84,-13.74,118.8118811881188,0.47811881188120253
MFG-LINE-PLT-010-03,2024-01-10,2,34.2,34.8,38.147,94.28,103.45,-26.9,105.26315789473684,-10.983157894736834
MFG-LINE-PLT-004-07,2023-03-11,2,224.4,199.4,218.542,16.44,18.05,-17.29,16.0427807486631,0.3972192513368995
MFG-LINE-PLT-005-03,2023-12-18,1,62.1,56.6,62.094,57.95,63.6,-17.79,57.971014492753625,-0.021014492753621994
MFG-LINE-PLT-004-02,2022-05-11,1,244.9,225.0,286.631,12.38,16.0,-53.17,14.699877501020824,-2.319877501020823
MFG-LINE-PLT-002-03,2021-11-13,2,45.8,43.7,60.132,59.78,82.38,-28.81,78.60262008733625,-18.822620087336247
MFG-LINE-PLT-004-04,2023-10-26,3,354.2,289.7,340.96,10.52,12.43,-30.68,10.163749294184077,0.35625070581592233
MFG-LINE-PLT-004-03,2024-03-15,1,138.3,132.9,138.388,26.0,27.09,-21.86,26.030368763557483,-0.03036876355748319
MFG-LINE-PLT-007-01,2020-04-13,2,177.7,170.1,230.947,15.45,21.16,-44.79,20.258863252673045,-4.808863252673046
MFG-LINE-PLT-002-04,2020-11-05,3,16.2,14.1,19.635,183.34,255.32,-33.57,222.22222222222223,-38.882222222222225
MFG-LINE-PLT-003-03,2024-02-29,1,11.0,9.6,10.75,334.83,375.0,-30.6,327.27272727272725,7.557272727272732
MFG-LINE-PLT-009-01,2021-08-11,2,63.4,62.8,70.565,50.92,57.32,-31.92,56.782334384858046,-5.862334384858045
MFG-LINE-PLT-004-05,2021-03-28,2,156.1,151.3,179.167,19.97,23.79,-22.16,23.062139654067906,-3.092139654067907
MFG-LINE-PLT-003-05,2020-02-16,2,39.9,39.1,42.518,84.5,92.07,-32.96,90.22556390977444,-5.725563909774436
MFG-LINE-PLT-002-04,2020-06-16,1,16.2,14.1,15.286,235.36,255.32,-20.89,222.22222222222223,13.137777777777785
MFG-LINE-PLT-006-02,2023-06-05,1,6.4,6.6,10.498,342.87,545.45,-49.0,562.5,-219.63
MFG-LINE-PLT-010-02,2021-10-07,2,328.4,290.9,389.679,9.11,12.38,-37.21,10.962241169305726,-1.8522411693057261
MFG-LINE-PLT-007-02,2021-06-13,3,238.3,231.6,296.112,12.12,15.54,-31.9,15.107007973143096,-2.987007973143097
MFG-LINE-PLT-003-05,2020-07-03,2,39.9,39.1,51.713,69.55,92.07,-25.0,90.22556390977444,-20.67556390977444
MFG-LINE-PLT-003-04,2020-03-15,3,30.3,27.1,37.959,94.82,132.84,-37.1,118.8118811881188,-23.99188118811881
MFG-LINE-PLT-005-05,2020-04-17,2,59.9,61.0,73.366,48.88,59.02,-46.76,60.10016694490818,-11.22016694490818
MFG-LINE-PLT-004-04,2024-10-30,3,354.2,289.7,356.198,10.1,12.43,-19.35,10.163749294184077,-0.0637492941840776
MFG-LINE-PLT-004-05,2024-02-25,2,156.1,151.3,197.724,18.12,23.79,-44.0,23.062139654067906,-4.942139654067905
MFG-LINE-PLT-007-02,2020-07-04,2,238.3,231.6,255.125,14.03,15.54,-21.43,15.107007973143096,-1.0770079731430968
MFG-LINE-PLT-004-06,2022-11-01,1,126.5,112.6,118.59,30.34,31.97,-28.57,28.458498023715414,1.8815019762845857
MFG-LINE-PLT-005-03,2021-07-05,1,62.1,56.6,63.655,56.4,63.6,-37.32,57.971014492753625,-1.5710144927536263
MFG-LINE-PLT-007-01,2024-07-07,1,177.7,170.1,193.265,18.6,21.16,-19.88,20.258863252673045,-1.6588632526730436
MFG-LINE-PLT-003-03,2024-05-27,1,11.0,9.6,12.122,296.91,375.0,-41.46,327.27272727272725,-30.362727272727227
MFG-LINE-PLT-009-02,2023-12-08,1,40.5,33.0,42.926,83.83,109.09,-23.06,88.88888888888889,-5.058888888888887
MFG-LINE-PLT-005-04,2023-09-23,1,51.5,46.6,59.326,60.56,77.25,-41.75,69.90291262135922,-9.342912621359218
MFG-LINE-PLT-004-07,2020-12-27,1,224.4,199.4,222.578,16.08,18.05,-49.62,16.0427807486631,0.03721925133689652
MFG-LINE-PLT-006-02,2022-11-08,1,6.4,6.6,7.072,509.01,545.45,-10.86,562.5,-53.49000000000001
MFG-LINE-PLT-010-02,2022-08-16,1,328.4,290.9,340.728,10.42,12.38,-20.93,10.962241169305726,-0.5422411693057256
MFG-LINE-PLT-004-01,2020-12-21,1,224.5,209.4,276.047,13.03,17.19,-40.15,16.035634743875278,-3.0056347438752784
MFG-LINE-PLT-003-03,2022-05-31,1,11.0,9.6,9.966,361.11,375.0,-11.27,327.27272727272725,33.83727272727276
MFG-LINE-PLT-010-02,2022-08-02,2,328.4,290.9,343.396,10.4,12.38,-35.87,10.962241169305726,-0.5622411693057252
MFG-LINE-PLT-009-02,2020-02-07,2,40.5,33.0,55.135,65.21,109.09,-48.94,88.88888888888889,-23.678888888888892
MFG-LINE-PLT-006-02,2023-09-18,3,6.4,6.6,7.913,454.92,545.45,-50.39,562.5,-107.57999999999998
MFG-LINE-PLT-010-01,2024-12-16,2,267.8,279.7,380.724,9.44,12.87,-34.0,13.44286781179985,-4.002867811799851
MFG-LINE-PLT-008-02,2021-04-25,2,36.9,38.7,41.64,86.42,93.02,-13.17,97.5609756097561,-11.140975609756097
MFG-LINE-PLT-004-02,2023-01-11,1,244.9,225.0,235.311,15.26,16.0,-16.96,14.699877501020824,0.560122498979176
MFG-LINE-PLT-003-01,2024-01-09,1,21.2,20.5,26.321,136.68,175.61,-44.02,169.81132075471697,-33.13132075471697
MFG-LINE-PLT-010-02,2024-09-06,1,328.4,290.9,375.795,9.53,12.38,-40.86,10.962241169305726,-1.4322411693057262
MFG-LINE-PLT-005-03,2020-10-29,2,62.1,56.6,62.729,57.39,63.6,-29.91,57.971014492753625,-0.5810144927536243
MFG-LINE-PLT-001-02,2020-05-06,1,62.4,50.8,64.799,55.53,70.87,-25.69,57.69230769230769,-2.1623076923076923
MFG-LINE-PLT-004-03,2022-03-04,2,138.3,132.9,175.579,20.32,27.09,-50.46,26.030368763557483,-5.710368763557483
MFG-LINE-PLT-003-04,2021-09-16,1,30.3,27.1,28.896,124.51,132.84,-22.36,118.8118811881188,5.698118811881201
MFG-LINE-PLT-007-01,2022-06-12,1,177.7,170.1,195.447,18.3,21.16,-31.52,20.258863252673045,-1.9588632526730443
MFG-LINE-PLT-010-01,2023-11-10,3,267.8,279.7,507.143,7.07,12.87,-51.49,13.44286781179985,-6.37286781179985
MFG-LINE-PLT-005-06,2024-11-28,2,73.7,75.0,130.337,27.43,48.0,-80.28,48.846675712347356,-21.416675712347356
MFG-LINE-PLT-009-01,2021-04-17,1,63.4,62.8,67.897,53.0,57.32,-27.44,56.782334384858046,-3.7823343848580464
MFG-LINE-PLT-005-04,2022-05-17,3,51.5,46.6,65.997,54.5,77.25,-45.27,69.90291262135922,-15.40291262135922
MFG-LINE-PLT-008-02,2022-03-29,2,36.9,38.7,52.354,68.61,93.02,-42.13,97.5609756097561,-28.9509756097561
MFG-LINE-PLT-009-02,2020-07-01,1,40.5,33.0,35.329,101.76,109.09,-16.06,88.88888888888889,12.87111111111112
MFG-LINE-PLT-010-04,2022-09-16,2,298.9,264.3,303.617,11.82,13.62,-34.58,12.04416192706591,-0.22416192706590898
MFG-LINE-PLT-004-01,2021-01-01,3,224.5,209.4,296.087,12.1,17.19,-42.62,16.035634743875278,-3.935634743875278
MFG-LINE-PLT-004-05,2020-05-14,2,156.1,151.3,174.048,20.55,23.79,-35.47,23.062139654067906,-2.512139654067905
MFG-LINE-PLT-005-03,2022-09-28,2,62.1,56.6,69.891,51.48,63.6,-30.85,57.971014492753625,-6.491014492753628
MFG-LINE-PLT-003-01,2024-03-16,3,21.2,20.5,23.451,153.37,175.61,-32.73,169.81132075471697,-16.44132075471697
MFG-LINE-PLT-004-07,2024-12-07,3,224.4,199.4,231.731,15.46,18.05,-30.0,16.0427807486631,-0.5827807486631009
MFG-LINE-PLT-006-02,2023-07-04,2,6.4,6.6,8.701,413.6,545.45,-26.6,562.5,-148.89999999999998
MFG-LINE-PLT-003-02,2023-11-01,3,42.0,36.5,44.671,80.44,98.63,-39.92,85.71428571428571,-5.2742857142857105
MFG-LINE-PLT-005-06,2024-11-13,2,73.7,75.0,103.973,34.59,48.0,-35.82,48.846675712347356,-14.256675712347352
MFG-LINE-PLT-010-02,2024-05-03,2,328.4,290.9,349.58,10.16,12.38,-22.58,10.962241169305726,-0.8022411693057254
MFG-LINE-PLT-004-03,2021-09-05,1,138.3,132.9,154.375,23.21,27.09,-29.17,26.030368763557483,-2.8203687635574823
MFG-LINE-PLT-007-01,2021-08-20,3,177.7,170.1,215.993,16.57,21.16,-35.26,20.258863252673045,-3.6888632526730447
MFG-LINE-PLT-002-01,2023-10-04,2,43.4,38.1,42.581,84.48,94.49,-35.88,82.94930875576037,1.5306912442396339
MFG-LINE-PLT-005-02,2022-07-13,1,53.5,47.5,53.878,66.79,75.79,-21.02,67.28971962616822,-0.49971962616821486
MFG-LINE-PLT-002-02,2023-10-04,1,14.0,12.8,16.284,221.01,281.25,-21.37,257.14285714285717,-36.132857142857176
MFG-LINE-PLT-005-02,2023-08-29,1,53.5,47.5,52.873,68.03,75.79,-18.71,67.28971962616822,0.74028037383178
MFG-LINE-PLT-009-02,2024-01-24,2,40.5,33.0,38.351,93.79,109.09,-25.2,88.88888888888889,4.9011111111111205
MFG-LINE-PLT-002-01,2022-02-04,1,43.4,38.1,39.367,91.31,94.49,-23.76,82.94930875576037,8.360691244239632
MFG-LINE-PLT-005-02,2021-03-16,3,53.5,47.5,53.937,66.72,75.79,-24.7,67.28971962616822,-0.5697196261682222
MFG-LINE-PLT-010-03,2021-02-25,1,34.2,34.8,44.001,81.69,103.45,-31.13,105.26315789473684,-23.573157894736838
MFG-LINE-PLT-004-03,2022-05-14,1,138.3,132.9,147.016,24.22,27.09,-62.07,26.030368763557483,-1.8103687635574843
MFG-LINE-PLT-009-01,2020-08-02,2,63.4,62.8,83.504,43.1,57.32,-30.54,56.782334384858046,-13.682334384858045
MFG-LINE-PLT-004-01,2021-02-12,2,224.5,209.4,251.855,14.28,17.19,-42.4,16.035634743875278,-1.7556347438752784
MFG-LINE-PLT-010-04,2022-05-01,1,298.9,264.3,277.599,12.86,13.62,-14.58,12.04416192706591,0.8158380729340902
MFG-LINE-PLT-004-03,2021-01-03,1,138.3,132.9,209.845,17.01,27.09,-49.76,26.030368763557483,-9.020368763557482
MFG-LINE-PLT-004-04,2023-12-01,3,354.2,289.7,522.948,6.82,12.43,-46.24,10.163749294184077,-3.343749294184077
MFG-LINE-PLT-002-03,2020-10-10,2,45.8,43.7,52.613,68.36,82.38,-47.55,78.60262008733625,-10.242620087336249
MFG-LINE-PLT-010-04,2020-07-25,3,298.9,264.3,333.788,10.69,13.62,-41.75,12.04416192706591,-1.3541619270659098
MFG-LINE-PLT-004-05,2021-12-01,2,156.1,151.3,202.345,17.74,23.79,-49.73,23.062139654067906,-5.322139654067907
MFG-LINE-PLT-004-05,2022-12-19,2,156.1,151.3,173.123,20.72,23.79,-32.0,23.062139654067906,-2.342139654067907
MFG-LINE-PLT-004-03,2023-05-15,1,138.3,132.9,212.49,16.9,27.09,-54.41,26.030368763557483,-9.130368763557485
MFG-LINE-PLT-004-02,2022-08-23,1,244.9,225.0,254.49,14.12,16.0,-19.67,14.699877501020824,-0.5798775010208246
MFG-LINE-PLT-001-01,2022-01-22,2,25.4,20.4,22.291,161.5,176.47,-10.93,141.73228346456693,19.767716535433067
MFG-LINE-PLT-006-02,2024-10-05,1,6.4,6.6,7.314,492.19,545.45,-17.09,562.5,-70.31
MFG-LINE-PLT-004-06,2020-12-06,1,126.5,112.6,118.858,30.23,31.97,-12.1,28.458498023715414,1.7715019762845863
MFG-LINE-PLT-003-05,2020-07-08,2,39.9,39.1,44.415,80.96,92.07,-32.22,90.22556390977444,-9.265563909774443
MFG-LINE-PLT-008-01,2023-08-26,1,138.1,113.9,182.063,19.74,31.61,-52.63,26.06806661839247,-6.328066618392473
MFG-LINE-PLT-004-07,2024-11-04,1,224.4,199.4,225.625,15.88,18.05,-28.17,16.0427807486631,-0.162780748663101
MFG-LINE-PLT-005-04,2023-04-29,3,51.5,46.6,64.855,55.44,77.25,-36.11,69.90291262135922,-14.462912621359223
MFG-LINE-PLT-003-02,2023-08-27,2,42.0,36.5,42.519,84.63,98.63,-25.28,85.71428571428571,-1.0842857142857127
MFG-LINE-PLT-002-03,2020-02-16,2,45.8,43.7,51.208,70.18,82.38,-29.98,78.60262008733625,-8.422620087336242
MFG-LINE-PLT-004-04,2020-03-27,1,354.2,289.7,305.983,11.61,12.43,-19.15,10.163749294184077,1.4462507058159222
MFG-LINE-PLT-008-01,2023-01-29,2,138.1,113.9,126.05,28.53,31.61,-13.71,26.06806661839247,2.4619333816075297
MFG-LINE-PLT-002-01,2021-12-29,2,43.4,38.1,65.502,54.87,94.49,-46.81,82.94930875576037,-28.079308755760373
MFG-LINE-PLT-005-02,2023-09-04,1,53.5,47.5,51.867,69.28,75.79,-8.52,67.28971962616822,1.99028037383178
MFG-LINE-PLT-010-04,2024-09-04,1,298.9,264.3,298.329,11.97,13.62,-16.16,12.04416192706591,-0.07416192706590863
MFG-LINE-PLT-001-02,2022-11-13,1,62.4,50.8,53.81,66.79,70.87,-29.55,57.69230769230769,9.097692307692313
MFG-LINE-PLT-006-01,2023-02-09,1,25.7,24.6,31.726,113.47,146.34,-42.03,140.07782101167317,-26.607821011673167
MFG-LINE-PLT-008-02,2024-09-24,1,36.9,38.7,43.462,82.68,93.02,-22.77,97.5609756097561,-14.880975609756092
MFG-LINE-PLT-008-02,2022-02-07,1,36.9,38.7,42.745,84.02,93.02,-39.64,97.5609756097561,-13.540975609756103
MFG-LINE-PLT-002-03,2024-08-12,1,45.8,43.7,44.731,80.41,82.38,-9.68,78.60262008733625,1.8073799126637482
MFG-LINE-PLT-004-04,2020-10-13,1,354.2,289.7,304.514,11.7,12.43,-31.96,10.163749294184077,1.536250705815922
MFG-LINE-PLT-008-01,2021-06-16,3,138.1,113.9,141.874,25.35,31.61,-39.75,26.06806661839247,-0.71806661839247
MFG-LINE-PLT-002-04,2022-03-01,3,16.2,14.1,17.645,203.92,255.32,-20.94,222.22222222222223,-18.30222222222224
MFG-LINE-PLT-003-04,2024-06-22,1,30.3,27.1,31.345,114.73,132.84,-23.63,118.8118811881188,-4.0818811881188
MFG-LINE-PLT-005-04,2023-06-15,2,51.5,46.6,62.96,57.11,77.25,-42.3,69.90291262135922,-12.792912621359221
MFG-LINE-PLT-004-06,2023-12-09,1,126.5,112.6,119.422,29.98,31.97,-28.74,28.458498023715414,1.5215019762845863
MFG-LINE-PLT-010-03,2021-03-02,2,34.2,34.8,41.397,86.9,103.45,-28.51,105.26315789473684,-18.36315789473683
MFG-LINE-PLT-003-01,2023-12-13,1,21.2,20.5,21.98,163.73,175.61,-36.51,169.81132075471697,-6.081320754716984
MFG-LINE-PLT-003-02,2021-10-19,1,42.0,36.5,36.78,97.84,98.63,-16.94,85.71428571428571,12.125714285714295
MFG-LINE-PLT-004-01,2021-09-11,3,224.5,209.4,263.792,13.54,17.19,-36.15,16.035634743875278,-2.4956347438752786
MFG-LINE-PLT-010-04,2022-07-05,3,298.9,264.3,327.899,10.96,13.62,-31.78,12.04416192706591,-1.0841619270659084
MFG-LINE-PLT-003-05,2023-11-23,3,39.9,39.1,53.361,67.39,92.07,-35.1,90.22556390977444,-22.835563909774436
MFG-LINE-PLT-008-01,2023-08-08,3,138.1,113.9,137.887,26.02,31.61,-24.89,26.06806661839247,-0.04806661839247184
MFG-LINE-PLT-009-02,2021-08-31,1,40.5,33.0,36.928,97.36,109.09,-23.41,88.88888888888889,8.471111111111114
MFG-LINE-PLT-002-03,2023-02-02,3,45.8,43.7,50.121,71.79,82.38,-28.86,78.60262008733625,-6.812620087336242
MFG-LINE-PLT-007-01,2023-08-28,2,177.7,170.1,187.806,19.02,21.16,-27.71,20.258863252673045,-1.2388632526730454
MFG-LINE-PLT-010-03,2022-08-11,2,34.2,34.8,42.644,84.38,103.45,-28.64,105.26315789473684,-20.88315789473684
MFG-LINE-PLT-003-01,2020-09-23,3,21.2,20.5,26.013,138.37,175.61,-36.04,169.81132075471697,-31.44132075471697
MFG-LINE-PLT-004-06,2021-02-24,2,126.5,112.6,131.697,27.22,31.97,-28.76,28.458498023715414,-1.2384980237154153
MFG-LINE-PLT-010-04,2021-02-09,1,298.9,264.3,273.977,13.07,13.62,-14.42,12.04416192706591,1.025838072934091
MFG-LINE-PLT-005-06,2020-12-21,1,73.7,75.0,84.979,42.27,48.0,-29.33,48.846675712347356,-6.5766757123473525
MFG-LINE-PLT-005-01,2023-08-26,3,33.7,34.4,48.568,74.11,104.65,-31.67,106.82492581602374,-32.71492581602374
MFG-LINE-PLT-004-04,2021-03-08,3,354.2,289.7,341.809,10.48,12.43,-25.27,10.163749294184077,0.3162507058159232
MFG-LINE-PLT-004-04,2022-01-07,1,354.2,289.7,336.768,10.62,12.43,-23.16,10.163749294184077,0.456250705815922
MFG-LINE-PLT-009-02,2024-09-29,1,40.5,33.0,37.228,96.66,109.09,-25.12,88.88888888888889,7.771111111111111
MFG-LINE-PLT-009-02,2020-06-29,3,40.5,33.0,45.391,79.12,109.09,-54.18,88.88888888888889,-9.768888888888881
MFG-LINE-PLT-006-02,2022-06-07,3,6.4,6.6,9.117,394.8,545.45,-37.45,562.5,-167.7
MFG-LINE-PLT-004-02,2024-08-06,3,244.9,225.0,283.791,12.59,16.0,-30.58,14.699877501020824,-2.109877501020824
MFG-LINE-PLT-005-03,2023-05-14,1,62.1,56.6,92.796,38.65,63.6,-56.29,57.971014492753625,-19.321014492753626
MFG-LINE-PLT-003-03,2021-05-07,2,11.0,9.6,11.451,314.35,375.0,-33.37,327.27272727272725,-12.92272727272723
MFG-LINE-PLT-005-02,2024-03-29,1,53.5,47.5,49.981,72.0,75.79,-4.81,67.28971962616822,4.710280373831779
MFG-LINE-PLT-005-06,2022-01-26,1,73.7,75.0,84.76,42.42,48.0,-32.55,48.846675712347356,-6.426675712347354
MFG-LINE-PLT-005-02,2020-11-27,1,53.5,47.5,58.608,61.38,75.79,-30.94,67.28971962616822,-5.9097196261682186
MFG-LINE-PLT-004-02,2023-06-19,2,244.9,225.0,388.875,9.21,16.0,-53.27,14.699877501020824,-5.489877501020823
