Supplier,Supplier Industry,Supplier Country,Customer,Customer Industry,Customer Country,Relationship1,Relationship2,Relationship3
Vallourec SACA,Steel,France,Sonatrach Group,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Eni SpA,Oil & Gas Producers,Italy,Groupement Sonatrach Agip,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Eni SpA,Oil & Gas Producers,Italy,Sonatrach Group,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Societe Algerienne de L'Electricite et du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,Societe Algerienne de L'Electricite et du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Samsung C&T Corp,Engineering & Construction,South Korea,Societe Nationale de I Electricite & Du Gaz SpA,Oil & Gas Producers,Algeria,suppliesTo,locatedIn,operatesIn
Usinas Siderurgicas de Minas Gerais SA USIMINAS,Steel,Brazil,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Kyushu Electric Power Co Inc,Electric Utilities,Japan,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Transportadora Gas del Norte SA,Gas & Water Utilities,Argentina,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,Profertil SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Refinor SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,Refinor SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Ternium Argentina SA,Steel,Argentina,Tecpetrol SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Transportadora Gas del Norte SA,Gas & Water Utilities,Argentina,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Tecpetrol SA,Oil & Gas Producers,Argentina,Transportadora de Gas del Sur SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
YPF SA,Oil & Gas Producers,Argentina,YPF Energia Electrica SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
BHP Group Ltd,Metals & Mining,Australia,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Vale SA,Metals & Mining,Brazil,Ternium Argentina SA,Steel,Argentina,suppliesTo,locatedIn,operatesIn
Nutrien Ltd,Chemicals,Canada,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
Methanex Corp,Chemicals,Canada,YPF SA,Oil & Gas Producers,Argentina,suppliesTo,locatedIn,operatesIn
Enel Distribucion Chile SA,Electric Utilities,Chile,Empresa Distribuidora Sur SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Cia General de Electricidad SA,Electric Utilities,Chile,MetroGas SA,Gas & Water Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Empresas Copec SA,Oil & Gas Producers,Chile,MetroGas SA,Gas & Water Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,Aluan Aluminio Argentino SAIC,Metals & Mining,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Vestas Wind Systems A/S,Renewable Energy,Denmark,YPF Energia Electrica SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Wartsila OYJ Abp,Machinery,Finland,Pampa Energia SA,Electric Utilities,Argentina,suppliesTo,locatedIn,operatesIn
Electricite de France SA,Electric Utilities,France,Arkema SA,Chemicals,Argentina,suppliesTo,locatedIn,operatesIn
